"AxiTrace","AxiTrace"
"AxiTrace Configuration","AxiTrace Configuration"
"General","General"
"Events","Events"
"Advanced","Advanced"
"Enable AxiTrace tracking","Enable AxiTrace tracking"
"Workspace public key","Workspace public key"
"Tracking domain (optional)","Tracking domain (optional)"
"Auto-Detect Domain","Auto-Detect Domain"
"Test Connection","Test Connection"
"Connection status","Connection status"
"Purchase events","Purchase events"
"Add-to-cart events","Add-to-cart events"
"Product view events","Product view events"
"Category view events","Category view events"
"Page view events","Page view events"
"API base URL","API base URL"
"Log level","Log level"
"Error","Error"
"Warning","Warning"
"Info","Info"
"Debug","Debug"
"Master kill switch. When set to No, no events are captured or forwarded.","Master kill switch. When set to No, no events are captured or forwarded."
"Connection verified.","Connection verified."
"Invalid workspace public key. Expected format: pk_live_... or pk_test_... (20–64 chars).","Invalid workspace public key. Expected format: pk_live_... or pk_test_... (20–64 chars)."
"Could not reach AxiTrace API: %1","Could not reach AxiTrace API: %1"
"Tracking domain lookup did not succeed.","Tracking domain lookup did not succeed."
"Save a valid workspace public key first.","Save a valid workspace public key first."
"No verified custom tracking domain found for this workspace.","No verified custom tracking domain found for this workspace."
"No events captured yet. Place a test order to verify the connection.","No events captured yet. Place a test order to verify the connection."
"Connected — last event %1 minutes ago","Connected — last event %1 minutes ago"
"Connected — last event %1 just now","Connected — last event %1 just now"
"No recent successful event (last success was over 24h ago).","No recent successful event (last success was over 24h ago)."
